corrupted,correct
CC(=O)OPC(CC(=O)[O-])C[N+](C)NC)C,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)NOC(CC(=)[O-])C[N+]CC)(C)C,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)OC(CC(=O)[O-])C[N+](C)(C),CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)OC(CBrC(=O)O)C[N+](C)(C)C,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
CC(=O)OC(CC(O)[N+])CO(ClC)(C)C,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
CC(=O)OC(CC(=O)O)C[N+](C)(C)CP,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
O=(O)C1=CSC=CC(O)C1O,O=C(O)C1=CC=CC(O)C1O
O=C(O)C1=CC=CC(O)C1,O=C(O)C1=CC=CC(O)C1O
O=C(OCC1=CC=CC(O))1O,O=C(O)C1=CC=CC(O)C1O
CC()CN,CC(O)CN
CC(O)CC,CC(O)CN
CC(OCN,CC(O)CN
NCC(=O)COP(=O)(O),NCC(=O)COP(=O)(O)O
NCC(=O)COP(=O)(O),NCC(=O)COP(=O)(O)O
NNC(=O)COP(=O)(O)O,NCC(=O)COP(=O)(O)O
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
Cn1cnc2c(N)ncnc21,CCn1cnc2c(N)ncnc21
CCncnc2c(N)ncnc21,CCn1cnc2c(N)ncnc21
CCn1c2cc(N)ncnc21,CCn1cnc2c(N)ncnc21
CCC(C)(O)C(O)C(=O),CCC(C)(O)C(O)C(=O)O
CCC(C)(O)C(O)C(NO)O,CCC(C)(O)C(O)C(=O)O
CCC(C)(O)C(O)C(O)O,CCC(C)(O)C(O)C(=O)O
O=P(O)(O)ClC1C(O)C(O)C(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
O=P(O)(N)OC1C(O)C(O)C(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
O=C(O)()OC1C(O)C(O)C2(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CC(=O)O)C(=O)O)cc1)N2,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
Nc1nc(=O)c2c=[nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C((=O)O)cc1)N2,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
ClCC,ClCCCl
ClCC,ClCCCl
ClCC,ClCCCl
Oc1cc(O)c(O)CO(()c1,Oc1cc(O)c(O)c(O)c1
Oc1cc(O)c(O)c(O)c,Oc1cc(O)c(O)c(O)c1
Oc1cc(O)cOCc(O)1cC,Oc1cc(O)c(O)c(O)c1
Clcc1ccc(Cl))(Cl)c1,Clc1ccc(Cl)c(Cl)c1
Clc1ccc(Cl)c(Cl)c,Clc1ccc(Cl)c(Cl)c1
Clc1ccc(Cl)c2(O)c1,Clc1ccc(Cl)c(Cl)c1
CCCCCC(=O)C=CC1C(O)CC(=O)C1CC)CCCC(=O)O,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CCCCCC(=O)C=C1C(O)CC(=N)C1CCCCCCC(=O)O,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC=O)O,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CC12CCC3C(CCC4CC(=O)CC43C)C1CCO2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
CC12CCC3C(CCC4PCC(=O)CCC43C)C1CCC2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
O=C1=CCCCNC(=O)CCCCCN1,O=C1CCCCCNC(=O)CCCCCN1
O=C1CCCCCNCO()=CCCCCN1,O=C1CCCCCNC(=O)CCCCCN1
O=C1CCCCCNC=O)CCCCCN1,O=C1CCCCCNC(=O)CCCCCN1
O=C(O)C=NC(C(=O)O)CC=C1,O=C(O)C1=NC(C(=O)O)CC=C1
O=C(O)C1=NC(C(=O)O)CC=C,O=C(O)C1=NC(C(=O)O)CC=C1
BrO=C(O)C1=2C(C(=O)O)CC=C1,O=C(O)C1=NC(C(=O)O)CC=C1
O=C(O)c1cccc(O)c1,O=C(O)c1cccc(O)c1O
O=C(O)c1cccc(OHc1O,O=C(O)c1cccc(O)c1O
=C(O)c1cccc(O)c1O,O=C(O)c1cccc(O)c1O
O=C(O)CCc1cccc(O)c1,O=C(O)CCc1cccc(O)c1O
O=C(OP)CCc1cccc(O)c1O,O=C(O)CCc1cccc(O)c1O
O=C(O)CCc1cccc(O)c1,O=C(O)CCc1cccc(O)c1O
CCC(O)OC(C)=O)C(=()O,CCC(O)(C(C)=O)C(=O)O
CCC(O)(C(O=O)C(=C)O,CCC(O)(C(C)=O)C(=O)O
CCC(O)(C(C)=)OC(=O)O,CCC(O)(C(C)=O)C(=O)O
CC(=O)C(C)(O)C(=O),CC(=O)C(C)(O)C(=O)O
CC(=O)C(C)(O)C(=O),CC(=O)C(C)(O)C(=O)O
CC(=O)C(C)(O)C(=O),CC(=O)C(C)(O)C(=O)O
NC(C(=O)O)=C(C=CC=O)C(=O),NC(C(=O)O)=C(C=CC=O)C(=O)O
NC(C(=)CO)=C(C=CC=O)C(=O)O,NC(C(=O)O)=C(C=CC=O)C(=O)O
NC(C(=O)O)=C(C=CC=O)C(=O),NC(C(=O)O)=C(C=CC=O)C(=O)O
2NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O
NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O2)CO)C(O)N2O,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O
NC1=NC2CC(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O
Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N,Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N2
Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N,Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N2
Nc1nc(=O)c2c([nH]1)N1(O)C(O)C(C(O)C(O)CO)N2,Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N2
CC(=O)C(=O)C1=NPC2C(=O)NC(N)=NC2N(O)C1O,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O
CC(=O)C(=O)C1NC2C(=O)NC(N)=NC2N(O)C1O,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O
CC(=O)C(=O)C1=NC2C(=O)NCBr(N)=NC2N(O)C1O,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O
NC(=CC=CCO=()O)C(=O)O,NC(=CC=CC(=O)O)C(=O)O
NC(=CC=CC(=O)O)C(=O),NC(=CC=CC(=O)O)C(=O)O
NC(=CC=CSCO=O)O)C(=O)(,NC(=CC=CC(=O)O)C(=O)O
NC((C=O)C(=O)O,NC(C=O)C(=O)O
NC(C=OOC(=O)O,NC(C=O)C(=O)O
NC(C=O)C(=O),NC(C=O)C(=O)O
NC(=CC=CC=O)C(=O),NC(=CC=CC=O)C(=O)O
NC(=CC=ClCC=O)C(=O)O,NC(=CC=CC=O)C(=O)O
)C(=CC=CC=O)C(=O)O,NC(=CC=CC=O)C(=O)O
CC(O)(CO)C(O)COP(=O)(OPO,CC(O)(CO)C(O)COP(=O)(O)O
CC(O)PCO)C(O)COP(=O)(O)O,CC(O)(CO)C(O)COP(=O)(O)O
CC(O)(CO)C(O)COP(=O)(O),CC(O)(CO)C(O)COP(=O)(O)O
O=C(O)C=CC=C(C(=O)O)C(=O2)O,O=C(O)C=CC=C(C(=O)O)C(=O)O
O=C(O)C=CC=C(C(=OClO)C(=O)O,O=C(O)C=CC=C(C(=O)O)C(=O)O
O=C(O)C=CC=C(C(=O)O)C(=O)OBr,O=C(O)C=CC=C(C(=O)O)C(=O)O
O1CCCl,O=CCCl
O=CC,O=CCCl
P=CCCl,O=CCCl
CCOCl,OCCCl
OCC,OCCCl
O1CCl,OCCCl
O=C(O)CC1(Cl)C=C(=O)O1,O=C(O)CC1(Cl)C=CC(=O)O1
O=C(O)C1(Cl)C=CC(=O)O1,O=C(O)CC1(Cl)C=CC(=O)O1
O=C(O)CC1(Cl)C=CC(=O)O,O=C(O)CC1(Cl)C=CC(=O)O1
O=C(O)C(=OS)CC(O)2(O)CO,O=C(O)C(=O)CC(O)C(O)CO
O=C(O)C(=O)CC(O)C(O)C,O=C(O)C(=O)CC(O)C(O)CO
O=C(O)C(=O)CC(O)C(O)C,O=C(O)C(=O)CC(O)C(O)CO
CCC(C)(CO)C(=O)C(=O)O,CC(C)(CO)C(=O)C(=O)O
CC(C)(CO)C(=O)C(=O),CC(C)(CO)C(=O)C(=O)O
CC(C)(COC)C(=O)C(=O)O,CC(C)(CO)C(=O)C(=O)O
C1C1(C)CON(=O)C1=O,CC1(C)COC(=O)C1=O
CC1(C)COC(=O)C1=,CC1(C)COC(=O)C1=O
CC1(C)COC(=O)C1=,CC1(C)COC(=O)C1=O
OCC1OC(O)CC(O)C1,OCC1OC(O)CC(O)C1O
OCO1OC(O)CC(OBrC1O,OCC1OC(O)CC(O)C1O
OCC1OC(O)C(O)C1O,OCC1OC(O)CC(O)C1O
CSCCC(=O)C(O)=COP(=O)(O),CSCCC(=O)C(O)=COP(=O)(O)O
CSCCC(=O)C(O)=COP(=O)(O),CSCCC(=O)C(O)=COP(=O)(O)O
CSCCC=O)C(O)=COP(=O)(O)O,CSCCC(=O)C(O)=COP(=O)(O)O
O=C(O)CCC(=O)C=CC=C(O)C(=O),O=C(O)CCC(=O)C=CC=C(O)C(=O)O
O=C(O)CCC(=O)C=CC=C(O)C(=O),O=C(O)CCC(=O)C=CC=C(O)C(=O)O
O=C(O)CCC(=O)C=CC=C(OS)C(=O)O,O=C(O)CCC(=O)C=CC=C(O)C(=O)O
O=C([O-](C)O)C(=O)[O-],O=C([O-])C(O)C(=O)[O-]
O=C([O-])C(O)C(=O),O=C([O-])C(O)C(=O)[O-]
O=C([O-])C(O)C(=O),O=C([O-])C(O)C(=O)[O-]
O=C(O)C(O)C(=)O,O=C(O)C(O)C(=O)O
O=C(O)C(O)C(=O),O=C(O)C(O)C(=O)O
O=C(O)C(O)C(=O),O=C(O)C(O)C(=O)O
O=C(O)C(=O)CC(O)C(O)COP(=O)(O)OCl,O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
O=C(O)C(=O)CC(O)C(O)COP(=O)(O),O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
O=C(OPC(=O)CC(O)C(O)COP(=O)(O)O,O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
CCCCBrC(=O)C(=O)O,CCC(C)C(=O)C(=O)O
CCC(C)C(=O)C(=O),CCC(C)C(=O)C(=O)O
CCC(C)(=O)C(=O)O,CCC(C)C(=O)C(=O)O
NC(=O)CCC(=O)C(=O),NC(=O)CCC(=O)C(=O)O
NC(=O)CCC(=O)C(=O),NC(=O)CCC(=O)C(=O)O
NC(=O)CCC(=O)C()=O)O,NC(=O)CCC(=O)C(=O)O
CC(C)C()O)C(=O)O,CC(C)C(=O)C(=O)O
CC(C)C(=O)C(=O),CC(C)C(=O)C(=O)O
CC(C)C(=O)C(=O),CC(C)C(=O)C(=O)O
O=C(O)C(=O)C(ONC(OC(O)CO,O=C(O)C(=O)C(O)C(O)C(O)CO
O=C(O)C(=O)C(O)C(O)C(O)C,O=C(O)C(=O)C(O)C(O)C(O)CO
O=C(O)C(=O)C(O)C(O)C(O)C,O=C(O)C(=O)C(O)C(O)C(O)CO
O=C(O)CCC(=O)C(=O),O=C(O)CCC(=O)C(=O)O
O=S(O)CCC(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
O=C(O)CCC(=O)C(=O),O=C(O)CCC(=O)C(=O)O
CC(O)C(ClC)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3O(N)ncnc32)C(O)C1OP(=O)(O)O,CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3Clc(N)ncnc32)C(O)C1OP(=O)(O)O,CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O1)COP(=O)(O)O,CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)nc)c32)C(O)C1OP(=O)(OnO,CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCCC=(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O
CC=CCCC(C)=CCCC()=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O,CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O
CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CC(CC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O,CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O
CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)S=CCCC(C)=CCc1cccc(OC)c1O,CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O
CC(C)=CCCC(C)=C)CCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C))CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C==CCc1cccccO1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
CC(=O)C(=O)O,CCC(=O)C(=O)O
CCC(=(O)C(=O)O,CCC(=O)C(=O)O
CCC(=O==(CO)O,CCC(=O)C(=O)O
