corrupted,correct
CC(=O)OPC(CC(=O)[O-])C[N+](C)NC)C,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)NOC(CC(=)[O-])C[N+]CC)(C)C,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)OC(CC(=O)[O-])C[N+](C)(C),CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
CC(=O)OC(CBrC(=O)O)C[N+](C)(C)C,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
CC(=O)OC(CC(O)[N+])CO(ClC)(C)C,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
CC(=O)OC(CC(=O)O)C[N+](C)(C)CP,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
O=(O)C1=CSC=CC(O)C1O,O=C(O)C1=CC=CC(O)C1O
O=C(O)C1=CC=CC(O)C1,O=C(O)C1=CC=CC(O)C1O
O=C(OCC1=CC=CC(O))1O,O=C(O)C1=CC=CC(O)C1O
CC()CN,CC(O)CN
CC(O)CC,CC(O)CN
CC(OCN,CC(O)CN
NCC(=O)COP(=O)(O),NCC(=O)COP(=O)(O)O
NNC(=O)COP(=O)(O)O,NCC(=O)COP(=O)(O)O
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
Cn1cnc2c(N)ncnc21,CCn1cnc2c(N)ncnc21
CCncnc2c(N)ncnc21,CCn1cnc2c(N)ncnc21
CCn1c2cc(N)ncnc21,CCn1cnc2c(N)ncnc21
CCC(C)(O)C(O)C(=O),CCC(C)(O)C(O)C(=O)O
CCC(C)(O)C(O)C(NO)O,CCC(C)(O)C(O)C(=O)O
CCC(C)(O)C(O)C(O)O,CCC(C)(O)C(O)C(=O)O
O=P(O)(O)ClC1C(O)C(O)C(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
O=P(O)(N)OC1C(O)C(O)C(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
O=C(O)()OC1C(O)C(O)C2(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CC(=O)O)C(=O)O)cc1)N2,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
Nc1nc(=O)c2c=[nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C((=O)O)cc1)N2,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N,Nc1nc(=O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
Oc1cc(O)c(O)CO(()c1,Oc1cc(O)c(O)c(O)c1
Oc1cc(O)c(O)c(O)c,Oc1cc(O)c(O)c(O)c1
Oc1cc(O)cOCc(O)1cC,Oc1cc(O)c(O)c(O)c1
Clcc1ccc(Cl))(Cl)c1,Clc1ccc(Cl)c(Cl)c1
Clc1ccc(Cl)c(Cl)c,Clc1ccc(Cl)c(Cl)c1
Clc1ccc(Cl)c2(O)c1,Clc1ccc(Cl)c(Cl)c1
CCCCCC(=O)C=CC1C(O)CC(=O)C1CC)CCCC(=O)O,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CCCCCC(=O)C=C1C(O)CC(=N)C1CCCCCCC(=O)O,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC=O)O,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
CC12CCC3C(CCC4CC(=O)CC43C)C1CCO2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
CC12CCC3C(CCC4PCC(=O)CCC43C)C1CCC2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
O=C(O)C=NC(C(=O)O)CC=C1,O=C(O)C1=NC(C(=O)O)CC=C1
O=C(O)C1=NC(C(=O)O)CC=C,O=C(O)C1=NC(C(=O)O)CC=C1
BrO=C(O)C1=2C(C(=O)O)CC=C1,O=C(O)C1=NC(C(=O)O)CC=C1
O=C(O)CCc1cccc(O)c1,O=C(O)CCc1cccc(O)c1O
O=C(OP)CCc1cccc(O)c1O,O=C(O)CCc1cccc(O)c1O
CCC(O)OC(C)=O)C(=()O,CCC(O)(C(C)=O)C(=O)O
CCC(O)(C(O=O)C(=C)O,CCC(O)(C(C)=O)C(=O)O
CCC(O)(C(C)=)OC(=O)O,CCC(O)(C(C)=O)C(=O)O
2NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O
NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O2)CO)C(O)N2O,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O
NC1=NC2CC(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O
Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N,Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N2
Nc1nc(=O)c2c([nH]1)N1(O)C(O)C(C(O)C(O)CO)N2,Nc1nc(=O)c2c([nH]1)N(O)C(O)C(C(O)C(O)CO)N2
CC(=O)C(=O)C1=NPC2C(=O)NC(N)=NC2N(O)C1O,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O
CC(=O)C(=O)C1NC2C(=O)NC(N)=NC2N(O)C1O,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O
CC(=O)C(=O)C1=NC2C(=O)NCBr(N)=NC2N(O)C1O,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O
NC(=CC=CCO=()O)C(=O)O,NC(=CC=CC(=O)O)C(=O)O
NC(=CC=CC(=O)O)C(=O),NC(=CC=CC(=O)O)C(=O)O
NC(=CC=CSCO=O)O)C(=O)(,NC(=CC=CC(=O)O)C(=O)O
NC(=CC=CC=O)C(=O),NC(=CC=CC=O)C(=O)O
NC(=CC=ClCC=O)C(=O)O,NC(=CC=CC=O)C(=O)O
)C(=CC=CC=O)C(=O)O,NC(=CC=CC=O)C(=O)O
CC(O)(CO)C(O)COP(=O)(OPO,CC(O)(CO)C(O)COP(=O)(O)O
CC(O)PCO)C(O)COP(=O)(O)O,CC(O)(CO)C(O)COP(=O)(O)O
CC(O)(CO)C(O)COP(=O)(O),CC(O)(CO)C(O)COP(=O)(O)O
O1CCCl,O=CCCl
O=CC,O=CCCl
P=CCCl,O=CCCl
O=C(O)CC1(Cl)C=C(=O)O1,O=C(O)CC1(Cl)C=CC(=O)O1
O=C(O)C1(Cl)C=CC(=O)O1,O=C(O)CC1(Cl)C=CC(=O)O1
O=C(O)CC1(Cl)C=CC(=O)O,O=C(O)CC1(Cl)C=CC(=O)O1
CCC(C)(CO)C(=O)C(=O)O,CC(C)(CO)C(=O)C(=O)O
CC(C)(CO)C(=O)C(=O),CC(C)(CO)C(=O)C(=O)O
CC(C)(COC)C(=O)C(=O)O,CC(C)(CO)C(=O)C(=O)O
C1C1(C)CON(=O)C1=O,CC1(C)COC(=O)C1=O
CC1(C)COC(=O)C1=,CC1(C)COC(=O)C1=O
OCC1OC(O)CC(O)C1,OCC1OC(O)CC(O)C1O
OCO1OC(O)CC(OBrC1O,OCC1OC(O)CC(O)C1O
OCC1OC(O)C(O)C1O,OCC1OC(O)CC(O)C1O
CSCCC(=O)C(O)=COP(=O)(O),CSCCC(=O)C(O)=COP(=O)(O)O
CSCCC=O)C(O)=COP(=O)(O)O,CSCCC(=O)C(O)=COP(=O)(O)O
O=C(O)CCC(=O)C=CC=C(O)C(=O),O=C(O)CCC(=O)C=CC=C(O)C(=O)O
O=C(O)CCC(=O)C=CC=C(OS)C(=O)O,O=C(O)CCC(=O)C=CC=C(O)C(=O)O
O=C(O)C(O)C(=)O,O=C(O)C(O)C(=O)O
O=C(O)C(O)C(=O),O=C(O)C(O)C(=O)O
O=C(O)C(=O)CC(O)C(O)COP(=O)(O)OCl,O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
O=C(O)C(=O)CC(O)C(O)COP(=O)(O),O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
O=C(OPC(=O)CC(O)C(O)COP(=O)(O)O,O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
CCCCBrC(=O)C(=O)O,CCC(C)C(=O)C(=O)O
CCC(C)C(=O)C(=O),CCC(C)C(=O)C(=O)O
CCC(C)(=O)C(=O)O,CCC(C)C(=O)C(=O)O
NC(=O)CCC(=O)C(=O),NC(=O)CCC(=O)C(=O)O
NC(=O)CCC(=O)C()=O)O,NC(=O)CCC(=O)C(=O)O
CC(C)C()O)C(=O)O,CC(C)C(=O)C(=O)O
CC(C)C(=O)C(=O),CC(C)C(=O)C(=O)O
O=C(O)C(=O)C(ONC(OC(O)CO,O=C(O)C(=O)C(O)C(O)C(O)CO
O=C(O)C(=O)C(O)C(O)C(O)C,O=C(O)C(=O)C(O)C(O)C(O)CO
O=C(O)CCC(=O)C(=O),O=C(O)CCC(=O)C(=O)O
O=S(O)CCC(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
CC(O)C(ClC)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3O(N)ncnc32)C(O)C1OP(=O)(O)O,CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3Clc(N)ncnc32)C(O)C1OP(=O)(O)O,CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCCC=(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O
CC(C)=CCCC(C)=C)CCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C))CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C==CCc1cccccO1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
CC(=O)C(=O)O,CCC(=O)C(=O)O
CCC(=(O)C(=O)O,CCC(=O)C(=O)O
CCC(=O==(CO)O,CCC(=O)C(=O)O
O=C(O)ClC(CO)OP(=O)(O)O,O=C(O)C(CO)OP(=O)(O)O
O=C(O)C(CO)P(=O)(O)O,O=C(O)C(CO)OP(=O)(O)O
(=CO)COCO)OP(=O)(O)O,O=C(O)C(CO)OP(=O)(O)O
CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1,CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
O=C(O)C(COP)=O)(O)O)OP(=O((C)O,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
OP)C(O)C(COP((O=(O)O)OP(=O)(O)O,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
O=C(O)C(COP(=O)(O)O)OP(=O)(O),O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
OC1C=C(Cl)C(Cl)C=C1,OC1C=C(Cl)C(Cl)C=C1Cl
OC=C=C(Cl)C(Cl)C11Cl,OC1C=C(Cl)C(Cl)C=C1Cl
OC1C=C(ClO)C(Cl)C=C1Cl,OC1C=C(Cl)C(Cl)C=C1Cl
Oc1cc(Cl)cP(O)cc1Cl,Oc1cc(Cl)c(O)cc1Cl
Oc1cc(Cl)c(ON)cc1Cl,Oc1cc(Cl)c(O)cc1Cl
Oc1cc(Cl)c(O)cc1,Oc1cc(Cl)c(O)cc1Cl
Oc1cc(Cl)cc11Cl,Oc1cc(Cl)ccc1Cl
Occcc(Cl)c1c1Cl,Oc1cc(Cl)ccc1Cl
Oc1cc(Cl)ccc(,Oc1cc(Cl)ccc1Cl
O=C(O)C(=O)C(O)C(O)C(=O)C,O=C(O)C(=O)C(O)C(O)C(=O)CO
CC1(CO)OP(=O)(O)OP(=O)(O)OCC1,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
CC1(COPOP(=O(O)OP(=O)(O)OCC1O,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
CC1(CO)OP(=O)(O1OP(=O)(O)OCC1O,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
O=OC(O)CCC(=O)CBr=O)O,O=C(O)CCCC(=O)C(=O)O
O=C(O)CCCC(=O)C(=O),O=C(O)CCCC(=O)C(=O)O
O=Br(O)CCCC(=O)C(=O)O,O=C(O)CCCC(=O)C(=O)O
O=)C(O)c1ccc(O)c(O)c1,O=C(O)c1ccc(O)c(O)c1
O=C(O)c1ccc(O)c(O)cN1,O=C(O)c1ccc(O)c(O)c1
O=C(O)c1ccc(O)c(O)=1,O=C(O)c1ccc(O)c(O)c1
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
Nc1ncnc2c1n1cn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)Br1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
CC12CCC3C(CC=C4CC(O)CCSC43C)C1CCC2=O,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
CC12CC3C(CC=C4CC(O)CCC43C)C1CCC2=O,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
CC(C)C(O)(CC(=O)O)C(=OO)O,CC(C)C(O)(CC(=O)O)C(=O)O
CC(C)C(O)(CC(=O)O)C(=O),CC(C)C(O)(CC(=O)O)C(=O)O
NC(CCl)C(=O),NC(CCl)C(=O)O
ClC(CN)C(=O)O,NC(CCl)C(=O)O
N#Cc1cccNc1,N#Cc1cccnc1
N#Cc1cNcnc1,N#Cc1cccnc1
Cl#Cc1cccnc1,N#Cc1cccnc1
O=C1O)C1=CC(=O)C(O)C(O)C1,O=C(O)C1=CC(=O)C(O)C(O)C1
O=C(O)C1=C(=O)C(O)C(O)C1,O=C(O)C1=CC(=O)C(O)C(O)C1
O=C(C)O1=CC(=O)C(O)C(O)C1,O=C(O)C1=CC(=O)C(O)C(O)C1
O=C(O)C(=O)CC(O)C(S)C(O)CO(=PO)(O)O,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O),O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
O=C(O)C(=O)CC(O)C(O)C(S)COP(=O)(O)O,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O),C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)C)C1O)C(=O)O,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
C=C(OC1CC(C(=O)O)=CC(CNP(=O)(O)O)C1O)O(=O)=,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(S)ncnc32)C(O)C1OP(=O)(O)O,CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(CClCOP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(Nncnc32)C(O)C1OP(=O)(O)O,CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
